ID,final score,7017232: I am a gamer.,7017233: How many days per week do you game?,7017234: How often do you game in a team?,7017235: List the top 5 games you play with the most frequent first.,7017236: Does your gaming make you a better team player? How?,CODE,Gamer Group,gamer?,game days / week,team frequency,top 5 games,games essay,7017232: I am a gamer..1,7017233: How many days per week do you game?.1,7017234: How often do you game in a team?.1,"7017235: List the top 5 games you play with the most frequent first.
[game1]
[game2]
[game3]
[game4]
[game5]",7335381: I am a gamer.,7335382: How many days per week do you game?,7335383: How often do you game in a team?,"7335384: List the top 5 games you play with the most frequent first.
[game1]
[game2]
[game3]
[game4]
[game5]",7335385: Does your gaming make you a better team player? How?
1,5,True,1.0,Some of the time,"Apex Legends,Grand Theft Auto V,League of Legends,Minecraft,PUBG",Playing video games with my coworkers build community and strengthen team effectiveness. ,,Low Frequency,,,,,,,,,,,,,,
2,14,True,7.0,Most of the time,"World of Warcraft,League of Legends,Halo,Super Mario 64,any mmo","I believe that it can make you a better team player. Having to work together in World of Warcraft, our team of 20 plus people working on killing the hardest bosses the game has to offer creates bonds and skills to improve together. With League of legends, it is imperative that you work together with your team in some manner even if it is a more toxic environment at times. ",,High Frequency,,,,,,,,,,,,,,
3,16,True,3.0,Some of the time,"Minecraft,Final Fantasy,South Park: TSoT or TFbW,Dishonored,Wunderling","I usually play alone, but I do enjoy coop games. In those, communicating about strategy and goals does make for better teamwork",,Low Frequency,,,,,,,,,,,,,,
4,18,True,7.0,Some of the time,"Resident Evil 4,FortNite,Medal of Honor Above and Beyond,Phantom Covert Ops,Arizona Sunshine","It does, especially with regard to strategic games. Additional games I enjoy partaking in are Star Wars Tales from the Galaxy's Edge, Contractor$, MVP Football - The Patrick Mahomes Experience, Vader Immortal Episode 3, and Onward.",,High Frequency,,,,,,,,,,,,,,
5,20,True,7.0,Some of the time,"Minecraft,Animal Crossing New Horizons,Pokemon Shining Pearl,Stardew Valley,Cookie Run Ovenbreak","Most of the games I play are single-player, and those that aren't necessarily, I will often play alone due to schedule conflicts with my friends or differing play styles. I think if I played more team-based games, this would be the case. However, as it stands I'm not sure there's too much of a difference. ",,High Frequency,,,,,,,,,,,,,,
6,26,True,4.0,Some of the time,"rocket league,minecraft,battlefield,mini metro,destiny 2","Absolutely, particularly in rocket league and battlefield.

For me, a usual rocket league game is played with teammates that I have never played with before. There is also no voice communication in-game, so I communicate with my teammates in three ways, the first being the in-game chat using preset messages. The second way is through ""body"" language, by which I mean this: when I see a teammate move their in-game character a certain way in reaction to the current situation in-game, I can get a good idea of what they are planning to do next. The third way is knowing the unwritten rules that the community (loosely) follows. Of course, each individual player's body language and general play-style is different, so for each game I must adapt to how my teammates play. This translates generally to learning how to work with people in the real world.

It is similar for battlefield: I am usually playing with people I have never played with before. A typical game is myself and about 60 other players versus a similarly-sized second team. Teams are divided into squads of about five people. The best squads usually have at least one person filling each of four in-game roles with different specializations. I work together with my squad alongside the other squads on my team to capture and defend various objectives spread throughout the map. Ultimately, this game is won and lost by squads, not individual players. A skilled player loses to a squad of mediocre players, but a squad of skilled players cooperating is very hard to beat. Similarly, an excellent programmer reaches their full potential only as part of a team.",,High Frequency,,,,,,,,,,,,,,
7,31,True,7.0,Most of the time,"Apex Legends,Valorant,Halo Infinite,Slay the Spire,Minecraft","Yes, I believe that playing video-games has made me a better team player. The games that I play  require a high degree of teamwork, and more importantly have taught me to be much kinder and understanding of other's idea's and mistakes.",,High Frequency,,,,,,,,,,,,,,
8,37,True,2.0,Most of the time,"FIFA,Madden ,NBA 2K,Call Of Duty,Fortnite","Yes, communicating to win in any game like NBA 2k on defense when we want to get a stop or Fortnite to communicate where someone is so we can all get a win or needing any resources for health, materials,etc. ",,Low Frequency,,,,,,,,,,,,,,
9,39,True,5.0,Most of the time,"Age of Empires 4,Counterstrike Global Offensive (CSG0),League of Legends,Deep Rock Galactic,Foxhole","Yes, very much so.  I have competed as part of one of our school's CSGO and League of Legends teams.  In playing on these and times before this, I grew a lot by learning methods of communication, and what types of communications breed success.  Having a joint goal in mind but still being able to work as an individual, for example, were some things I picked up on. Some more...

-Picking up group morale

-Being able to delegate

-Expectations for members of your team

-Well placed criticism

-Setting realistic goals 

-Importance of discussion (as opposed to bottling feelings or not having an environment not conducive to well meant discussion)",,High Frequency,,,,,,,,,,,,,,
10,44,True,1.0,Most of the time,",League of Legends,,,",Yes gaming does make me a better team player. The only way to win the game is to cooperate as a team and obtain objectives as a team. It is extremely difficult to win when a player is uncooperative.,,Low Frequency,,,,,,,,,,,,,,
11,45,True,5.0,Most of the time,"Genshin Impact,Destiny 2,Hearthstone,Apex,Binding of Issac","You have to understand that when gaming in a team you aren't trying to just win for yourself, you are shooting for a shared goal. Reframing your mind this way allows for people in the group to tackle parts of a problem individually and use their talents and experience to perfect their given part, instead of everyone struggling to do everything. You can split tasks and let everyone focus on their strengths and use teamwork to solve in game problems instead of brute force.",,High Frequency,,,,,,,,,,,,,,
12,55,True,7.0,Some of the time,"The Legend of Zelda: Breath of the Wild,Magic: The Gathering,Destiny 2,New World,","It makes me a better team player in that I'm much better at getting used to teams and working together quickly.  This is very important, especially while raiding in D2.  However, it also does make me much more wary of new members of teams, as randomly assigned teams in gaming often results in at least 1 terrible person who you hope to never have the misfortune of meeting again.",,High Frequency,,,,,,,,,,,,,,
13,70,True,3.0,Some of the time,"tis-100,snowrunner,wrench,amid evil,team fortress 2","Most games I play are single-player because I don't love the stress of people depending on me when I'm trying to relax.  I figure I'll get enough of that in school and work.

Sometimes I play Team Fortress 2, an online team-based objective-driven first person shooter, and I almost always play as the Medic class, (a support character).  It's a role where I depend on another player or players to protect me and deal damage to enemy players while I keep them alive with a healing beam.  It's important to prioritize who to help, but also to spread healing around, so it's a perpetual balancing act which requires awareness and communication.  Over time, ubercharge builds (temporary invincibility) which I can use that to coordinate a push towards an objective with my team.  It's a good challenge which requires constant awareness of the game state and communication with team members.  It's kinda stressful, but very rewarding when done right.",,Low Frequency,,,,,,,,,,,,,,
14,70,True,1.0,Most of the time,"Apex Legends,Fifa,Ghost of Tsushima,,",Yes. I am forced to communicate with my teammates if I want to win most of the time.,,Low Frequency,,,,,,,,,,,,,,
15,74,False,1.0,Half of the time,"NBA 2K,FIFA,Call of duty modern warfare,Witcher 3,Batman","It definitely has the potential to make you a better team player but in the environments, I have been the teams have been very toxic. ",,Low Frequency,,,,,,,,,,,,,,
16,75,True,5.0,Most of the time,"Rocket League,Counter Strike : Global Offensive,Slay the Spire,Insurgency Sandstorm,Escape from Tarkov","Yes, there are many roles that need to be filled on a team -- regardless of the activity. Each role provides a service for the team to help it towards it goal. Participants are better at some roles while worse at others  -- it is advantageous for the unit if the individual recognizes and plays towards their strengths. In addition, people can more easily learn new roles or improve in them with the constructive guidance of a teammate. In theory, the collective strengths of the individuals empowers the team by fulfilling obligations and meeting targets while negating weakness and improving overall comprehension.

 

This stuff is obvious when watching professional gaming teams and it has improved my gaming as well as improved my teamwork IRL. ",,High Frequency,,,,,,,,,,,,,,
17,76,True,6.0,Most of the time,"valorant,league of legends,monster hunter,,","I don't think so, maybe I misunderstood, in league of legends you play in a team, but it's a team of strangers without much communication, it's less a team and more five people who aren't necessarily working against each other. In order to improve you need to work around what your teammates are doing but online gaming as a team is different than working in a team on a project, a lot of times when on a team game you're encouraged to be the most selfish player, which I don't think helps make you a team player. granted playing with friends is completely different I just  usually only play with one two friends so the majority of my teammates are random people..",,High Frequency,,,,,,,,,,,,,,
18,76,True,7.0,Half of the time,"Battlefield 2042,Pogostuck,Rainbow Six: Siege,Minecraft,Red Dead Redemption 2","In some ways it does. Most games I play are more for fun and much less competitive, but rainbow six: siege is a great game to improve teamwork.",,High Frequency,,,,,,,,,,,,,,
19,77,True,3.0,Always,"Call of Duty: Cold War,Call of Duty: Warzone,Grand Theft Auto 5,Fortnite,No Mans Sky","I don't game a ton, I play primarily as a way of keeping in touch with some friends from back home (I'm from New Jersey). The game we play the most by far is Warzone and is very much a team based game. In order to stand a chance against other squads we have to always be communicating and helping each other. I find that if I get impatient with my team and push into a fight too early I almost always end of dying. However when everyone is on the same page and we take a few seconds to plan our approach we can usually win the fight. Playing Warzone has taught me how to communicate with my team and lean on each other's strengths. I might be better in close quarters fights whereas my friend is really good at sniping, so when we are deciding how we are going to push an enemy team we take that into account. The same is true for any sort of group project. Planning out how we are going to approach the problem and assigning roles based on individual strengths makes the project go much more smoothly and produces better results. ",,Low Frequency,,,,,,,,,,,,,,
20,77,False,0.0,Never,"Breath of the Wild,Minecraft,Pokemon,NA,NA",No. Play solo games.,,Low Frequency,,,,,,,,,,,,,,
21,77,True,5.0,Some of the time,"New World Online,Destiny 2,Runescape,VTM: Bloodlines,Pokemon","Gaming has definitely made me a better team player as you have to get used to and proficient at communicating with others to do many raids, as well as do things like manage a guild. Most destiny content is meant to be done in groups and a group with poor communication can rarely finish a raid as many of the mechanics require coordination to prevent a wipe.",,High Frequency,,,,,,,,,,,,,,
22,78,True,7.0,Most of the time,"Halo 5,Escape From Tarkov,Forza Horizon 5,Overcooked,Battlefield 2042",I would say that gaming does make me a better team player. Understanding my role and my teammates roles' helps with playing to my strengths and utilizing my teammates strengths. ,,High Frequency,,,,,,,,,,,,,,
23,78,True,1.0,Some of the time,"Mario Kart,Super Smash Bros,Crawl,Speedrunners,Screencheat",I stopped playing alot of video games after middle school. The ones I do have anymore are usually you verses your friends so not much communication. But in the past I used to do I would say so because communication was such an important element. Playing a video game without a microphone I feel is a big disadvantage. ,,Low Frequency,,,,,,,,,,,,,,
24,78,True,5.0,Most of the time,"Apex,Overwatch,Minecraft,Valorant,Guild Wars 2","Certainly, I've played and coached Overwatch for over 3 years now and learned a lot about team dynamic in a fast paced game. Because I also coach, I often get to see this from a third person perspective as well. ",,High Frequency,,,,,,,,,,,,,,
25,79,True,2.0,Some of the time,"Civilization,Assasins Creed,Halo,Age of Empire,dues ex","Not really, never got into multiplayer games.",,Low Frequency,,,,,,,,,,,,,,
26,79,True,2.0,Half of the time,"Call of Duty: Modern Warfare,grand theft auto V,call of duty Call of Duty: Warzone,Fifa,God of War",I think yes because most of my favorite games require good team skills.,,Low Frequency,,,,,,,,,,,,,,
27,79,True,7.0,Some of the time,"League of Legends,Minecraft,Genshin Impact,Witcher 3,Borderlands 2","Sometimes, I'll either play really well and work as a coordinated team or everyone will just do their own thing and wont even type to each other. Overall I would say no though, because I usually like to be solo and do my own thing.",,High Frequency,,,,,,,,,,,,,,
28,79,True,4.0,Half of the time,"7th Continent,Gloomhaven,Time stories,7 Wonders,Dungeons and dragons","Beyond a doubt, I particularly like co-operative scenario based games, or semi-co-operative games. These particularly hone your skills to pick up on subtle social cues and read people, and work in a team",,High Frequency,,,,,,,,,,,,,,
29,80,True,4.0,Some of the time,"Sid Meier's Civilization VI,Sid Meier's Civilization V,Europa Universalis IV,Counter-Strike: Global Offensive,Skyrim","Most of the games I play are single-player. However, playing a decent amount of Counter-Strike it is obvious that good team coordination is better than just having one skilled player. Personally, my gaming style has not boosted my team player ability much simply because I do most often play single-player.",,High Frequency,,,,,,,,,,,,,,
30,80,True,7.0,Some of the time,"Pokémon,Fire Emblem,Monster Hunter,The Legend of Zelda,Super Smash Bros.","In a few ways, yes and no. In general, playing team games contributes to my tendency to pick up the slack where teammates are lacking. However, this often contributes to feelings of resent, where I often think to myself that I would be better off by myself. Though, this is often hit or miss, as being in a team makes it easier to project one's shortcomings onto the team.",,High Frequency,,,,,,,,,,,,,,
31,82,True,6.0,Always,"League of legends,Destiny 2,Genshin impact,Counter-Strike,Apex Legends",I think so. Most of the games I play are games that emphasize teamwork. Single-player games do not experience the joy of multi-player cooperation. It kind of focus me to have teamwork.,,High Frequency,,,,,,,,,,,,,,
32,83,True,2.0,Some of the time,"COD,fortnite,,,",I don't think my gaming has made me a better team player.,,Low Frequency,,,,,,,,,,,,,,
33,83,True,1.0,Half of the time,"MLB The Show,Rocket League,Call Of Duty,Fortnite,","Note - all my answers above are based on when I used to play video games, before starting school. Working full time and attending university don't allow me the time to play video games anymore. ANSWER: I enjoy video games more when I play with others. When I play by myself I get bored, things feel repetitive and I lose interest. To be honest, gaming with friends may be a way for me to hang with friends that don't live nearby, or that I don't see often. Winning, and losing as a team, laughing together and getting upset together is fun.",,Low Frequency,,,,,,,,,,,,,,
34,83,True,5.0,Most of the time,"rocket league,battlefield 2042,apex legends,counter strike,dark souls",Yes I think gaming makes me a better team player because when I am playing with my friends on a team we are always communicating to each other. Also even with you are without your friends games such as apex legends allow you to work with other random teammates which is very helpful as that will be the case in a working environment.,,High Frequency,,,,,,,,,,,,,,
35,84,True,3.0,Some of the time,"destiny2,valorant,borderlands 3,far cry,diablo2 resurrected",This is because communication with teammates is essential to win games that require strategies.,,Low Frequency,,,,,,,,,,,,,,
36,84,True,5.0,Most of the time,"Project Zomboid,Valorant,Rainbow Six Siege,Counter Strike GO,Minecraft",Gaming makes me a better team player because for most of the games I play playing as a team is essential to winning. I know how to coordinate a group of people in order to reach a common goal. I understand that each person must have their role in order have success as a group. I also know what it is like to be frustrated with team members but I know how to put that frustration aside and continue working together.,,High Frequency,,,,,,,,,,,,,,
37,84,True,3.0,Some of the time,"Dragon Age (Most recently Inquisition),Pokemon,Skyrim,Stardew Valley,Destiny 2","Sure, when I play Destiny 2! I pretty much only play single-player RPGs. When I play Destiny 2 with my brothers, we make a great team over Discord :)",,Low Frequency,,,,,,,,,,,,,,
38,84,True,5.0,Some of the time,"Star Wars fallen order,Grand theft auto 5,Minecraft,Crossword ,Team fortress 2",Gaming improves my team working skills by allowing me to work on effective communication and uses everyone’s strengths to the best of their ability,,High Frequency,,,,,,,,,,,,,,
